Execução,Tempo (s),Energia (µJ)
1,16.398,[691572388.0]
2,16.356,[693891840.0]
3,16.43,[699066814.0]
4,16.426,[695632313.0]
5,16.433,[700624000.0]
6,16.504,[700236793.0]
7,16.336,[692947689.0]
8,16.37,[691871703.0]
9,16.353,[685610489.0]
10,16.325,[688478523.0]
11,16.316,[681902490.0]
12,16.301,[682069421.0]
13,16.363,[686151380.0]
14,16.304,[687828135.0]
15,16.32,[682674460.0]
16,16.247,[681804957.0]
17,16.243,[684038776.0]
18,16.329,[686866406.0]
19,16.357,[755934222.0]
20,16.687,[736461920.0]
21,16.245,[721383652.0]
22,16.182,[705412256.0]
23,16.153,[710250135.0]
24,16.282,[727392303.0]
25,16.25,[735180796.0]
26,16.261,[720042285.0]
27,16.229,[694709465.0]
28,16.173,[673601364.0]
29,16.358,[721032944.0]
30,16.204,[690713747.0]
31,16.096,[666794740.0]
32,16.087,[671700002.0]
33,16.216,[663480296.0]
34,16.135,[664896797.0]
35,16.097,[667490234.0]
36,16.21,[670456536.0]
37,16.219,[756832474.0]
38,16.088,[666584963.0]
39,16.124,[669354671.0]
40,16.105,[664682625.0]
