Execução,Tempo (s),Energia (µJ)
1,1.2809,[73009518.0]
2,1.0077,[59293610.0]
3,0.7807,[43520641.0]
4,0.7023,[37435817.0]
5,0.686,[37493678.0]
6,0.693,[38612267.0]
7,0.6124,[29459031.0]
8,0.6424,[34390720.0]
9,0.6674,[33875218.0]
10,0.6123,[28524342.0]
11,0.6465,[35015596.0]
12,0.6798,[34414768.0]
13,0.6614,[34314609.0]
14,0.6174,[28743640.0]
15,0.6475,[34302463.0]
16,0.6017,[28489002.0]
17,0.6605,[33243201.0]
18,0.579,[27752310.0]
19,0.6349,[33665380.0]
20,0.6834,[34064427.0]
21,0.6192,[28890245.0]
22,0.6752,[34651828.0]
23,0.613,[28973559.0]
24,0.6377,[33704748.0]
25,0.5879,[28172291.0]
26,0.6452,[33597509.0]
27,0.6234,[29927414.0]
28,0.6518,[34328708.0]
29,0.6577,[33701147.0]
30,0.613,[28597217.0]
31,0.6457,[32899329.0]
32,0.6099,[28311207.0]
33,0.665,[32875465.0]
34,0.5908,[28796985.0]
35,0.6395,[32676491.0]
36,0.634,[33110145.0]
37,0.6174,[28673449.0]
38,0.7827,[47509217.0]
39,0.7498,[46708377.0]
40,0.5995,[26886711.0]
